ju;FECHA;TIPO;ASUNTO_V2;ESTADO ;Fecha de Respuesta;Tiempo de Respuesta
85;07-12-2025;DENUNCIA;Tenencia;LISTO;;
86;07-12-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
87;08-01-2025;DENUNCIA;Tenencia;LISTO;;
88;09-01-2025;DENUNCIA;Tenencia;Visitado;;
89;12-01-2026;SOLICITUD;Tenencia;EN PROCESO;;
90;13-01-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
91;13/01/2026,;SOLICITUD;Operativo de Esterilización;LISTO;;
92;15-01-2026;DENUNCIA;Tenencia;Visitado;;
93;19-01-2026;DENUNCIA;Tenencia;Visitado;;
94;19-01-2026;DENUNCIA;Tenencia;LISTO;;
95;21-01-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
96;21-01-2026;DENUNCIA;Tenencia;LISTO;;
97;22-01-2026;DENUNCIA;Tenencia;EN PROCESO;;
98;16-04-2026;SOLICITUD;Atención veterinaria;LISTO;;
99;26-01-2026;DENUNCIA;Tenencia;Visitado;14-04-2026;
100;26-01-2026;DENUNCIA;Tenencia;Visitado;14-04-2026;
101;09-01-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
102;09-01-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
103;09-01-2026;DENUNCIA;Tenencia;Visitado;;
104;09-01-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
105;22-02-2026;DENUNCIA;Perro Mordedor;EN PROCESO;;
106;09-02-2026;DENUNCIA;Tenencia;EN PROCESO;;
107;06-03-2026;DENUNCIA;Tenencia;LISTO;;
108;26-02-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
109;10-03-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
110;10-03-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
111;12-03-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
112;12-03-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
113;20-03-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
114;20-03-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
115;23-03-2026;SOLICITUD;Atención veterinaria;LISTO;;
116;27-03-2026;DENUNCIA;Perro Mordedor;VISITADO;;
117;27-03-2026;DENUNCIA;Perro Mordedor;VISITADO;;
118;31-03-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
119;31-03-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
120;31-03-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
121;01-04-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
122;02-04-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
123;02-04-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
124;06-04-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
125;07-04-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
126;13-04-2026;SOLICITUD;;LISTO;;
127;15-04-2026;SOLICITUD;Operativo de Esterilización;LISTO;;
128;15-04-2026;SOLICITUD;;LISTO;;
129;16-04-2026;DENUNCIA;Tenencia;EN PROCESO;;
130;17-04-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
131;17-04-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
132;20-04-2026;DENUNCIA;;EN PROCESO;;
133;23-04-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
134;24-04-2026;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
135;24-04-2026;DENUNCIA;Tenencia;EN PROCESO;;
